keggEntryID	geneSymbol	pathwayEntry	pathwayName	pathwayClass	type
3101	HK3	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
3098	HK1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
3099	HK2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
80201	HKDC1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2645	GCK	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2821	GPI	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5213	PFKM	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5214	PFKP	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5211	PFKL	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2203	FBP1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
8789	FBP2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
230	ALDOC	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
226	ALDOA	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
229	ALDOB	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
7167	TPI1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2597	GAPDH	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
26330	GAPDHS	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5232	PGK2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5230	PGK1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5223	PGAM1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5224	PGAM2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
441531	PGAM4	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2027	ENO3	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2026	ENO2	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
2023	ENO1	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
387712	ENO4	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5315	PKM	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
5313	PKLR	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	gene
