keggMetaboliteID	metaboliteName	pathwayEntry	pathwayName	pathwayClass	type
C00022	Pyruvate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00024	Acetyl-CoA	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00031	D-Glucose	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00033	Acetate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00036	Oxaloacetate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00068	Thiamin diphosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00074	Phosphoenolpyruvate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00084	Acetaldehyde	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00103	D-Glucose 1-phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00111	Glycerone phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00118	D-Glyceraldehyde 3-phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00186	(S)-Lactate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00197	3-Phospho-D-glycerate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00221	beta-D-Glucose	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00236	3-Phospho-D-glyceroyl phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00267	alpha-D-Glucose	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00469	Ethanol	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00631	2-Phospho-D-glycerate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00668	alpha-D-Glucose 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C01159	2,3-Bisphospho-D-glycerate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C01172	beta-D-Glucose 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C01451	Salicin	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C05345	beta-D-Fructose 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C05378	beta-D-Fructose 1,6-bisphosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C06186	Arbutin	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C06187	Arbutin 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C06188	Salicin 6-phosphate	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C15972	Enzyme N6-(lipoyl)lysine	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C15973	Enzyme N6-(dihydrolipoyl)lysine	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine	hsa00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism	metabolite
C00022	Pyruvate	hsa00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism	metabolite
